"","Article_id_to_keep","Grouping","Article_id_to_delete","Absolute_Sales_Transferred","Transferability_Percentage","Sales_to_delete","Ranking_to_delete","New_Total_Sales_receiving_sales","Total_Sales_Transferability","Sales_Lost.Relative","Sales_Lost.Absolute","article_to_delete-PRODUCT.DIVISION","article_to_delete-CHANNEL..ECOM.","article_to_delete-INTRO.DATE","article_to_delete-BRAND.ASSET","article_to_delete-PRODUCT.GROUP","article_to_delete-CLASS","article_to_delete-PRODUCT.TYPE","article_to_delete-AGE","article_to_delete-GENDER","article_to_delete-BUSINESS.UNIT","article_to_delete-MARKETING.DIVISION","article_to_delete-MODEL.NAME","article_to_delete-SALES.VOLUME","article_to_delete-RRP...local.currency.","article_to_delete-RRP..LOCAL.CURRENCY..currency.","article_to_delete-GOOD.BETTER.BEST.INDICATION","article_to_delete-INVOICE.MARGIN","article_to_delete-CARRY.OVER.ARTICLE","article_to_delete-SALES.UNITS","article_to_delete-MANDATORY.RANGE","article_to_delete-RANGE.TYPE.SPECIAL.USAGE","article_to_delete-CREATION.CENTER","article_to_delete-FRANCHISE","article_to_keep-PRODUCT.DIVISION","article_to_keep-CHANNEL..ECOM.","article_to_keep-INTRO.DATE","article_to_keep-BRAND.ASSET","article_to_keep-PRODUCT.GROUP","article_to_keep-CLASS","article_to_keep-PRODUCT.TYPE","article_to_keep-AGE","article_to_keep-GENDER","article_to_keep-BUSINESS.UNIT","article_to_keep-MARKETING.DIVISION","article_to_keep-MODEL.NAME","article_to_keep-SALES.VOLUME","article_to_keep-RRP...local.currency.","article_to_keep-RRP..LOCAL.CURRENCY..currency.","article_to_keep-GOOD.BETTER.BEST.INDICATION","article_to_keep-INVOICE.MARGIN","article_to_keep-CARRY.OVER.ARTICLE","article_to_keep-SALES.UNITS","article_to_keep-MANDATORY.RANGE","article_to_keep-RANGE.TYPE.SPECIAL.USAGE","article_to_keep-CREATION.CENTER","article_to_keep-FRANCHISE"
"641","CG0973","DtC_T-Shirt (SSlve)_ADULT_WOM","CV9894",4.634436772705,5.98662227174141,77.4132150374824,3,914.153895680211,92.1646409049198,7.83535909508015,6.06560338523333,"APPAREL","DtC","3/1/2018","NON ROYALTY","T-SHIRTS","adi Ori APP WOM Originals","T-Shirt (SSlve)","ADULT","WOM","ORIGINALS/NEO","OG","EKC86","686.5423768","35","0","Good","0.847142857","","66","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable","APPAREL","DtC","1/1/2018","NON ROYALTY","T-SHIRTS","adi perf APP WOM Athltcs","T-Shirt (SSlve)","ADULT","WOM","TRAINING","SP","DKQ35","3010","30","0","Good","0.741333333","","840","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable"
"642","CG0973","DtC_T-Shirt (SSlve)_ADULT_WOM","CE2439",1.95808987030406,6.40407691457335,30.5756769699028,5,914.153895680211,77.7465920922967,22.2534079077033,6.80413011665416,"APPAREL","DtC","3/1/2018","NON ROYALTY","T-SHIRTS","adi Ori APP WOM Originals","T-Shirt (SSlve)","ADULT","WOM","ORIGINALS/NEO","OG","ELW28","580.839458","40","0","Good","0.80125","","30","NO ASSIGNMENT","INLINE","CCH","not applicable","APPAREL","DtC","1/1/2018","NON ROYALTY","T-SHIRTS","adi perf APP WOM Athltcs","T-Shirt (SSlve)","ADULT","WOM","TRAINING","SP","DKQ35","3010","30","0","Good","0.741333333","","840","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable"
"643","CG0973","DtC_T-Shirt (SSlve)_ADULT_WOM","CV9893",11.265667848707,5.8062659934547,194.026037756565,4,914.153895680211,95.0574331729733,4.94256682702665,9.58986657795019,"APPAREL","DtC","1/1/2018","NON ROYALTY","T-SHIRTS","adi Ori APP WOM Originals","T-Shirt (SSlve)","ADULT","WOM","ORIGINALS/NEO","OG","EKC86","1192.610266","35","0","Good","0.847142857","","182","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable","APPAREL","DtC","1/1/2018","NON ROYALTY","T-SHIRTS","adi perf APP WOM Athltcs","T-Shirt (SSlve)","ADULT","WOM","TRAINING","SP","DKQ35","3010","30","0","Good","0.741333333","","840","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable"
"644","CG0973","DtC_T-Shirt (SSlve)_ADULT_WOM","CV9891",10.2001011126497,5.96884397479093,170.889055832742,3,914.153895680211,95.9027277954286,4.09727220457141,7.00178978528946,"APPAREL","DtC","1/1/2018","NON ROYALTY","T-SHIRTS","adi Ori APP WOM Originals","T-Shirt (SSlve)","ADULT","WOM","ORIGINALS/NEO","OG","EKC86","1152.473357","35","0","Good","0.847142857","","154","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable","APPAREL","DtC","1/1/2018","NON ROYALTY","T-SHIRTS","adi perf APP WOM Athltcs","T-Shirt (SSlve)","ADULT","WOM","TRAINING","SP","DKQ35","3010","30","0","Good","0.741333333","","840","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable"
"645","CG0973","DtC_T-Shirt (SSlve)_ADULT_WOM","CV9890",13.5117657178381,5.71346224150916,236.489980097761,4,914.153895680211,92.4024150752088,7.59758492479119,17.9675270765492,"APPAREL","DtC","1/1/2018","NON ROYALTY","T-SHIRTS","adi Ori APP WOM Originals","T-Shirt (SSlve)","ADULT","WOM","ORIGINALS/NEO","OG","EKC86","872.1531379","35","0","Good","0.847142857","","230","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable","APPAREL","DtC","1/1/2018","NON ROYALTY","T-SHIRTS","adi perf APP WOM Athltcs","T-Shirt (SSlve)","ADULT","WOM","TRAINING","SP","DKQ35","3010","30","0","Good","0.741333333","","840","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable"
"646","CG0973","DtC_T-Shirt (SSlve)_ADULT_WOM","CV9889",9.22247770245312,5.59325916034432,164.885578123031,4,914.153895680211,88.3380468799152,11.6619531200848,19.2288788224887,"APPAREL","DtC","1/1/2018","NON ROYALTY","T-SHIRTS","adi Ori APP WOM Originals","T-Shirt (SSlve)","ADULT","WOM","ORIGINALS/NEO","OG","EKC86","1941.401534","35","0","Good","0.847142857","","163","NO ASSIGNMENT","INLINE","CCH","not applicable","APPAREL","DtC","1/1/2018","NON ROYALTY","T-SHIRTS","adi perf APP WOM Athltcs","T-Shirt (SSlve)","ADULT","WOM","TRAINING","SP","DKQ35","3010","30","0","Good","0.741333333","","840","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable"
"647","CG0973","ECOM_T-Shirt (SSlve)_ADULT_WOM","CV3313",6.05154483062289,7.52236927097079,80.4473246743698,3,253.362490152208,94.0017169936518,5.99828300634822,4.8254582050045,"APPAREL","ECOM","1/1/2018","NON ROYALTY","T-SHIRTS","adi Perf APP WOM Training","T-Shirt (SSlve)","ADULT","WOM","TRAINING","SP","NPZ67","105","25","0","Good","0.7712","","79","NO ASSIGNMENT","INLINE","CCP","not applicable","APPAREL","ECOM","1/1/2018","NON ROYALTY","T-SHIRTS","adi perf APP WOM Athltcs","T-Shirt (SSlve)","ADULT","WOM","TRAINING","SP","DKQ35","305","30","0","Good","0.741333333","","229","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH","not applicable"
"648","CG1013","T&L_Sweatshirts _Female_Adult","CW2302",25.9998221207172,8.2155425330476,316.471152283992,5,1763.99561414575,96.8122018433721,3.18779815662795,10.0884615587683,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"649","CG1014","T&L_Sweatshirts _Female_Adult","CW5526",53.8928968804541,22.9678493443883,234.644942468772,1,903.998525505215,98.7010701012342,1.29892989876583,3.04787331366877,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"650","CG1014","T&L_Sweatshirts _Female_Adult","CE1971",19.1123423038645,4.69590719996671,407,5,903.998525505215,98.4285641920336,1.57143580796635,6.39574373842306,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
